#OTU_ID,DD10_2,DD20_1,DD20_6,DD20_3,DD20_4,DD20_5,DD10_4,DD10_3,DD10_1,DD20_2,DD10_5,DD10_6
OTU12776,1,0,0,0,0,0,2,2,1,0,0,1
OTU209233,4,1,0,2,2,0,1,1,5,1,1,1
OTU247956,24,15,20,10,9,17,25,23,20,18,23,26
OTU4311518,1,1,1,2,1,3,1,2,1,2,1,2
OTU4320381,6,5,0,3,2,3,2,2,5,3,2,2
OTU113224,18,16,12,25,25,13,20,22,15,17,17,20
OTU246243,17,13,8,11,13,4,12,10,14,14,17,19
OTU154174,2,0,7,2,2,4,0,0,2,1,1,1
OTU4299530,1,1,0,1,1,0,0,1,1,0,0,1
OTU4366263,1,1,0,1,1,1,1,1,0,0,2,1
OTU2426359,1,0,0,0,0,0,0,1,1,0,1,0
OTU104281,1,0,0,0,0,0,0,1,0,0,1,1
OTU4346541,1,0,0,0,0,0,1,0,1,0,1,1
OTU324357,4,4,7,3,4,5,8,7,3,5,1,1
OTU1144575,1,1,0,0,0,0,0,0,1,1,2,1
OTU212287,1,1,1,2,1,1,1,3,3,2,1,2
OTU253167,2,1,1,2,1,1,2,2,1,1,2,3
OTU156044,1,0,0,1,0,0,0,0,1,1,1,1
OTU248170,1,0,0,1,0,0,3,1,1,1,1,2
OTU247758,4,3,1,3,3,0,7,2,3,3,1,2
OTU223302,1,0,1,0,1,1,1,0,1,1,1,1
OTU4351337,11,10,8,14,15,16,7,8,12,9,12,11
OTU1109121,3,2,5,4,4,7,3,2,3,2,3,2
OTU1673321,12,12,7,11,9,5,19,17,12,9,7,7
OTU1002658,2,0,1,2,2,7,3,2,2,0,4,1
OTU4322410,1,1,3,2,2,1,1,1,2,1,2,3
OTU351494,3,0,0,0,0,0,0,0,2,0,1,1
OTU368027,4,3,0,1,1,0,2,3,3,3,2,1
OTU246449,1,1,0,1,1,1,1,0,2,1,1,1
OTU181641,1,0,0,0,0,0,1,1,0,0,1,1
OTU240298,2,2,1,3,2,0,2,5,3,4,1,1
OTU4357676,4,3,3,7,7,1,2,3,8,3,3,4
OTU1908796,1,0,1,1,1,1,1,0,2,0,1,0
OTU112326,2,3,0,2,2,1,1,4,4,2,2,1
OTU1115511,1,4,1,1,2,1,3,4,1,4,3,5
